age,bilat_0,Damoiseaux.fit,Burke.fit,Appelman.fit,Saux.fit,McCormick.fit,Damoiseaux.se,Burke.se,Appelman.se,Saux.se,McCormick.se
0.6,No,0.055576114,NA,0.040528779,0.0514668,0.054043162,0.194573862,NA,0.260532518,0.140854083,0.178975015
0.61,No,0.055646579,NA,0.040529491,0.051515189,0.054094152,0.193042999,NA,0.259584519,0.14041562,0.177966724
0.62,No,0.05571676,NA,0.040530014,0.051563438,0.054144877,0.191520699,NA,0.25863762,0.139977816,0.176967712
0.63,No,0.055786655,NA,0.040530349,0.051611548,0.054195338,0.190007302,NA,0.257691841,0.139540677,0.175978149
0.64,No,0.055856264,NA,0.040530497,0.051659519,0.054245534,0.188503153,NA,0.256747203,0.13910421,0.174998206
0.65,No,0.055925586,NA,0.040530457,0.05170735,0.054295465,0.187008605,NA,0.255803727,0.138668423,0.174028051
0.66,No,0.05599462,NA,0.040530231,0.051755042,0.054345129,0.185524017,NA,0.254861432,0.138233323,0.173067852
0.67,No,0.056063365,NA,0.040529818,0.051802594,0.054394528,0.184049759,NA,0.253920341,0.137798916,0.172117774
0.68,No,0.056131821,NA,0.040529219,0.051850006,0.054443661,0.182586205,NA,0.252980473,0.137365209,0.171177977
0.69,No,0.056199985,NA,0.040528434,0.051897278,0.054492526,0.181133739,NA,0.252041848,0.13693221,0.170248623
0.7,No,0.056267858,NA,0.040527464,0.051944409,0.054541125,0.179692751,NA,0.251104488,0.136499926,0.169329865
0.71,No,0.056335439,NA,0.040526309,0.051991401,0.054589456,0.178263639,NA,0.250168412,0.136068363,0.168421857
0.72,No,0.056402726,NA,0.04052497,0.052038252,0.05463752,0.176846809,NA,0.249233642,0.135637529,0.167524744
0.73,No,0.056469719,NA,0.040523447,0.052084963,0.054685317,0.175442675,NA,0.248300196,0.135207432,0.166638668
0.74,No,0.056536417,NA,0.040521739,0.052131533,0.054732845,0.174051657,NA,0.247368096,0.134778077,0.165763763
0.75,No,0.056602818,NA,0.040519849,0.052177962,0.054780106,0.172674186,NA,0.246437362,0.134349474,0.16490016
0.76,No,0.056668923,NA,0.040517775,0.05222425,0.054827099,0.171310696,NA,0.245508014,0.133921628,0.16404798
0.77,No,0.056734731,NA,0.040515519,0.052270398,0.054873823,0.169961632,NA,0.244580072,0.133494547,0.163207342
0.78,No,0.05680024,NA,0.040513081,0.052316404,0.054920279,0.168627444,NA,0.243653557,0.133068238,0.162378354
0.79,No,0.056865449,NA,0.040510461,0.052362269,0.054966467,0.167308592,NA,0.242728487,0.13264271,0.16156112
0.8,No,0.056930358,NA,0.04050766,0.052407993,0.055012386,0.16600554,NA,0.241804885,0.132217969,0.160755736
0.81,No,0.056994966,NA,0.040504677,0.052453575,0.055058038,0.16471876,NA,0.240882768,0.131794022,0.15996229
0.82,No,0.057059273,NA,0.040501515,0.052499015,0.055103421,0.163448732,NA,0.239962158,0.131370878,0.159180864
0.83,No,0.057123276,NA,0.040498172,0.052544314,0.055148535,0.162195941,NA,0.239043074,0.130948543,0.158411531
0.84,No,0.057186977,NA,0.040494649,0.052589471,0.055193382,0.160960878,NA,0.238125535,0.130527026,0.157654357
0.85,No,0.057250373,NA,0.040490948,0.052634487,0.05523796,0.159744041,NA,0.237209563,0.130106333,0.156909398
0.86,No,0.057313464,NA,0.040487067,0.05267936,0.05528227,0.158545932,NA,0.236295176,0.129686473,0.156176704
0.87,No,0.057376249,NA,0.040483008,0.052724091,0.055326311,0.157367058,NA,0.235382394,0.129267452,0.155456313
0.88,No,0.057438727,NA,0.040478771,0.05276868,0.055370084,0.156207933,NA,0.234471237,0.12884928,0.154748257
0.89,No,0.057500898,NA,0.040474356,0.052813126,0.055413589,0.155069072,NA,0.233561725,0.128431963,0.15405256
0.9,No,0.057562761,NA,0.040469764,0.05285743,0.055456826,0.153950996,NA,0.232653876,0.128015509,0.153369235
0.91,No,0.057624315,NA,0.040464995,0.052901592,0.055499794,0.152854228,NA,0.231747711,0.127599926,0.152698289
0.92,No,0.057685559,NA,0.04046005,0.05294561,0.055542494,0.151779292,NA,0.230843248,0.127185221,0.152039718
0.93,No,0.057746493,NA,0.040454929,0.052989487,0.055584926,0.150726717,NA,0.229940508,0.126771403,0.151393511
0.94,No,0.057807115,NA,0.040449632,0.05303322,0.055627089,0.149697029,NA,0.229039509,0.12635848,0.15075965
0.95,No,0.057867426,NA,0.040444161,0.05307681,0.055668985,0.148690758,NA,0.22814027,0.125946459,0.150138106
0.96,No,0.057927424,NA,0.040438514,0.053120257,0.055710612,0.14770843,NA,0.227242812,0.125535348,0.149528843
0.97,No,0.057987109,NA,0.040432694,0.053163561,0.055751971,0.146750572,NA,0.226347152,0.125125156,0.14893182
0.98,No,0.058046479,NA,0.040426699,0.053206722,0.055793062,0.145817708,NA,0.225453311,0.12471589,0.148346984
0.99,No,0.058105535,NA,0.040420532,0.05324974,0.055833885,0.144910356,NA,0.224561306,0.124307558,0.147774279
1,No,0.058164275,NA,0.040414191,0.053292614,0.055874441,0.144029034,NA,0.223671158,0.123900169,0.147213639
1.01,No,0.058222699,NA,0.040407678,0.053335345,0.05591473,0.143174251,NA,0.222782884,0.12349373,0.146664993
1.02,No,0.058280807,NA,0.040400992,0.053377932,0.055954751,0.14234651,NA,0.221896504,0.12308825,0.146128264
1.03,No,0.058338596,NA,0.040394135,0.053420375,0.055994504,0.141546308,NA,0.221012036,0.122683737,0.145603369
1.04,No,0.058396068,NA,0.040387107,0.053462675,0.056033989,0.14077413,NA,0.2201295,0.122280199,0.145090216
1.05,No,0.05845322,NA,0.040379908,0.05350483,0.056073207,0.140030454,NA,0.219248914,0.121877644,0.14458871
1.06,No,0.058510053,NA,0.040372539,0.053546842,0.056112156,0.139315745,NA,0.218370295,0.121476081,0.14409875
1.07,No,0.058566565,NA,0.040365,0.05358871,0.056150838,0.138630454,NA,0.217493664,0.121075518,0.143620228
1.08,No,0.058622757,NA,0.040357291,0.053630433,0.056189251,0.137975021,NA,0.216619038,0.120675964,0.143153034
1.09,No,0.058678627,NA,0.040349414,0.053672013,0.056227397,0.137349868,NA,0.215746436,0.120277426,0.142697053
1.1,No,0.058734175,NA,0.040341368,0.053713448,0.056265275,0.136755402,NA,0.214875876,0.119879914,0.142252166
1.11,No,0.0587894,NA,0.040333153,0.053754738,0.056302885,0.136192011,NA,0.214007376,0.119483435,0.141818253
1.12,No,0.058844302,NA,0.040324771,0.053795885,0.056340227,0.135660066,NA,0.213140954,0.119087999,0.141395187
1.13,No,0.05889888,NA,0.040316222,0.053836886,0.056377301,0.135159916,NA,0.212276629,0.118693614,0.14098284
1.14,No,0.058953133,NA,0.040307506,0.053877744,0.056414106,0.134691889,NA,0.211414419,0.118300288,0.140581081
1.15,No,0.059007061,NA,0.040298624,0.053918456,0.056450642,0.13425629,NA,0.210554342,0.11790803,0.140189777
1.16,No,0.059060663,NA,0.040289576,0.053959024,0.056486909,0.133853401,NA,0.209696415,0.117516849,0.139808792
1.17,No,0.059113938,NA,0.040280362,0.053999447,0.056522907,0.133483478,NA,0.208840656,0.117126753,0.139437991
1.18,No,0.059166887,NA,0.040270983,0.054039725,0.056558635,0.133146753,NA,0.207987083,0.116737751,0.139077233
1.19,No,0.059219508,NA,0.04026144,0.054079858,0.056594093,0.132843429,NA,0.207135714,0.116349853,0.138726378
1.2,No,0.059271801,NA,0.040251733,0.054119846,0.05662928,0.132573684,NA,0.206286567,0.115963066,0.138385287
1.21,No,0.059323765,NA,0.040241862,0.054159689,0.056664197,0.132337665,NA,0.205439659,0.1155774,0.138053816
1.22,No,0.0593754,NA,0.040231828,0.054199386,0.056698841,0.132135493,NA,0.204595007,0.115192863,0.137731822
1.23,No,0.059426705,NA,0.040221631,0.054238939,0.056733214,0.131967258,NA,0.20375263,0.114809465,0.137419162
1.24,No,0.059477679,NA,0.040211272,0.054278346,0.056767314,0.131833021,NA,0.202912543,0.114427214,0.137115691
1.25,No,0.059528323,NA,0.040200751,0.054317608,0.056801141,0.13173281,NA,0.202074765,0.11404612,0.136821267
1.26,No,0.059578635,NA,0.040190069,0.054356724,0.056834694,0.131666628,NA,0.201239314,0.113666191,0.136535744
1.27,No,0.059628616,NA,0.040179226,0.054395695,0.056867974,0.131634442,NA,0.200406204,0.113287436,0.136258981
1.28,No,0.059678264,NA,0.040168223,0.05443452,0.056900979,0.131636193,NA,0.199575455,0.112909866,0.135990838
1.29,No,0.059727578,NA,0.040157059,0.0544732,0.056933709,0.131671789,NA,0.198747083,0.112533487,0.135731173
1.3,No,0.05977656,NA,0.040145736,0.054511734,0.056966163,0.13174111,NA,0.197921105,0.112158311,0.135479851
1.31,No,0.059825208,NA,0.040134254,0.054550122,0.056998341,0.131844006,NA,0.197097538,0.111784346,0.135236734
1.32,No,0.059873521,NA,0.040122614,0.054588365,0.057030243,0.131980296,NA,0.196276398,0.111411602,0.135001688
1.33,No,0.059921499,NA,0.040110815,0.054626462,0.057061867,0.132149774,NA,0.195457702,0.111040087,0.134774581
1.34,No,0.059969142,NA,0.040098859,0.054664412,0.057093212,0.132352204,NA,0.194641467,0.110669811,0.134555283
1.35,No,0.060016449,NA,0.040086745,0.054702217,0.057124279,0.132587323,NA,0.19382771,0.110300783,0.134343666
1.36,No,0.060063419,NA,0.040074475,0.054739876,0.057155066,0.132854845,NA,0.193016446,0.109933013,0.134139604
1.37,No,0.060110053,NA,0.040062049,0.054777389,0.057185572,0.133154455,NA,0.192207692,0.109566511,0.133942973
1.38,No,0.06015635,NA,0.040049467,0.054814755,0.057215796,0.133485816,NA,0.191401465,0.109201285,0.133753649
1.39,No,0.060202309,NA,0.040036729,0.054851976,0.057245737,0.13384857,NA,0.190597781,0.108837345,0.133571514
1.4,No,0.06024793,NA,0.040023837,0.05488905,0.057275394,0.134242334,NA,0.189796656,0.108474701,0.133396449
1.41,No,0.060293213,NA,0.04001079,0.054925978,0.057304767,0.134666707,NA,0.188998105,0.108113362,0.133228336
1.42,No,0.060338157,NA,0.03999759,0.05496276,0.057333853,0.135121269,NA,0.188202146,0.107753338,0.13306706
1.43,No,0.060382761,NA,0.039984236,0.054999396,0.057362651,0.135605579,NA,0.187408793,0.107394639,0.132912505
1.44,No,0.060427026,NA,0.039970729,0.055035885,0.057391161,0.136119185,NA,0.186618064,0.107037273,0.13276456
1.45,No,0.060470951,NA,0.039957069,0.055072227,0.057419382,0.136661615,NA,0.185829972,0.106681252,0.132623112
1.46,No,0.060514535,NA,0.039943258,0.055108423,0.057447311,0.137232385,NA,0.185044535,0.106326584,0.132488053
1.47,No,0.060557778,NA,0.039929295,0.055144473,0.057474947,0.137831,NA,0.184261768,0.105973279,0.132359271
